domain,keyword,province_name,job_title,company,location,salary,min_salary,max_salary,posted_date,job_url,matched_skills,matched_skill_count,skill_python,skill_r,skill_java,skill_scala,skill_c++,skill_sql & database,skill_mongodb,skill_elasticsearch,skill_pandas,skill_numpy,skill_scipy,skill_sklearn,skill_machine_learning,skill_deep_learning,skill_llm,skill_rag,skill_langchain,skill_openai,skill_huggingface,skill_prompt_engineering,skill_vector_db,skill_excel,skill_powerbi,skill_tableau,skill_matplotlib,skill_seaborn,skill_plotly,skill_spark,skill_hadoop,skill_kafka,skill_aws,skill_gcp,skill_azure,skill_etl,skill_airflow,skill_docker,skill_kubernetes,skill_mlflow,skill_fastapi,skill_flask,skill_streamlit,skill_statistics,skill_git,skill_api,skill_linux
JOBBKK,Data Scientist,กรุงเทพมหานคร,Data Scientist,บริษัท จี.เอ็ม.เอส.คอร์เปอเรชั่น จำกัด,กรุงเทพมหานคร เขตยานนาวา,"25,000 - 30,000 บาท",25000.0,30000.0,02/21/2026,https://jobbkk.com/jobs/detailurgent/177407/1337853,python|r|sql & database|machine_learning|powerbi|tableau,6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOBBKK,Data Scientist,กรุงเทพมหานคร,Data Scientist (AI),บริษัท ไฮไทป์ (ประเทศไทย) จำกัด,กรุงเทพมหานคร ทุกเขต,"35,000 - 60,000 บาท",35000.0,60000.0,02/20/2026,https://jobbkk.com/jobs/detailurgent/235566/1354131,python|sql & database|pandas|numpy|sklearn|llm|git,7,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JOBBKK,Data Analyst,กรุงเทพมหานคร,Data Analyst,บริษัท พูนธนามาร์เก็ตติ้ง จำกัด,กรุงเทพมหานคร เขตลาดพร้าว,"20,000 - 30,000 บาท",20000.0,30000.0,02/21/2026,https://jobbkk.com/jobs/detailurgent/42373/1280858,java|sql & database|excel|powerbi|tableau|etl,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JOBBKK,Data Analyst,กรุงเทพมหานคร,Data Analyst,บริษัท เอฟซีซี เซอร์วิสเซส จำกัด,กรุงเทพมหานคร เขตจตุจักร,"17,000 - 22,000 บาท",17000.0,22000.0,02/20/2026,https://jobbkk.com/jobs/detailurgent/33965/356851,sql & database|excel,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOBBKK,Data Analyst,กรุงเทพมหานคร,Data Analyst,บริษัท แมส ช้อยส์ คอร์ปอเรชั่น จำกัด,กรุงเทพมหานคร เขตตลิ่งชัน,ตามตกลง,,,02/20/2026,https://jobbkk.com/jobs/detailurgent/43586/1268035,excel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOBBKK,Data Analyst,สมุทรสาคร,DATA Analyst,EP Asia Group Company Limited,สมุทรสาคร เมืองสมุทรสาคร,ตามตกลง,,,02/20/2026,https://jobbkk.com/jobs/detailurgent/193275/1039259,sql & database|excel,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOBBKK,Data Analyst,กรุงเทพมหานคร,Data Analyst,บริษัท อาร์เอสยู เฮลท์ แคร์ จำกัด,กรุงเทพมหานคร เขตคลองเตย,ตามตกลง,,,02/20/2026,https://jobbkk.com/jobs/detailurgent/40139/1359406,sql & database,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOBBKK,Data Analyst,กรุงเทพมหานคร,เจ้าหน้าที่วิเคราะห์ข้อมูล (MIS / Data Analyst),บริษัท เมืองไทยประกันชีวิต จำกัด (มหาชน),กรุงเทพมหานคร เขตจตุจักร,ตามตกลง,,,02/21/2026,https://jobbkk.com/jobs/detailurgent/161183/1340623,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOBBKK,Data Analyst,กรุงเทพมหานคร,นักวิเคราะห์ข้อมูล(Data Analyst),บริษัท มาราธอน (ประเทศไทย) จำกัด,กรุงเทพมหานคร เขตบางกอกน้อย,ตามตกลง,,,02/11/2026,https://jobbkk.com/jobs/detailurgent/205132/1288004,excel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOBBKK,Data Analyst,กรุงเทพมหานคร,Data Analyst,บริษัท ชับบ์สามัคคีประกันภัย จำกัด (มหาชน),กรุงเทพมหานคร เขตหลักสี่,ตามตกลง,,,02/21/2026,https://jobbkk.com/jobs/detail/11750/1344410,sql & database|excel|powerbi|tableau|statistics,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
